forms_match_id,home_team,away_team,stage
A1,Mexico,South Africa,GROUP_STAGE
A2,South Korea,Czechia,GROUP_STAGE
A3,Czechia,South Africa,GROUP_STAGE
A4,Mexico,South Korea,GROUP_STAGE
A5,Czechia,Mexico,GROUP_STAGE
A6,South Africa,South Korea,GROUP_STAGE
B1,Canada,Bosnia-Herzegovina,GROUP_STAGE
B2,Qatar,Switzerland,GROUP_STAGE
B3,Switzerland,Bosnia-Herzegovina,GROUP_STAGE
B4,Canada,Qatar,GROUP_STAGE
B5,Bosnia-Herzegovina,Qatar,GROUP_STAGE
B6,Switzerland,Canada,GROUP_STAGE
C1,Brazil,Morocco,GROUP_STAGE
C2,Haiti,Scotland,GROUP_STAGE
C3,Scotland,Morocco,GROUP_STAGE
C4,Brazil,Haiti,GROUP_STAGE
C5,Morocco,Haiti,GROUP_STAGE
C6,Scotland,Brazil,GROUP_STAGE
D1,United States,Paraguay,GROUP_STAGE
D2,Australia,Turkey,GROUP_STAGE
D3,United States,Australia,GROUP_STAGE
D4,Turkey,Paraguay,GROUP_STAGE
D5,Paraguay,Australia,GROUP_STAGE
D6,Turkey,United States,GROUP_STAGE
E1,Germany,Curaçao,GROUP_STAGE
E2,Ivory Coast,Ecuador,GROUP_STAGE
E3,Germany,Ivory Coast,GROUP_STAGE
E4,Ecuador,Curaçao,GROUP_STAGE
E5,Curaçao,Ivory Coast,GROUP_STAGE
E6,Ecuador,Germany,GROUP_STAGE
F1,Netherlands,Japan,GROUP_STAGE
F2,Sweden,Tunisia,GROUP_STAGE
F3,Netherlands,Sweden,GROUP_STAGE
F4,Tunisia,Japan,GROUP_STAGE
F5,Japan,Sweden,GROUP_STAGE
F6,Tunisia,Netherlands,GROUP_STAGE
G1,Belgium,Egypt,GROUP_STAGE
G2,Iran,New Zealand,GROUP_STAGE
G3,Belgium,Iran,GROUP_STAGE
G4,New Zealand,Egypt,GROUP_STAGE
G5,Egypt,Iran,GROUP_STAGE
G6,New Zealand,Belgium,GROUP_STAGE
H1,Spain,Cape Verde Islands,GROUP_STAGE
H2,Saudi Arabia,Uruguay,GROUP_STAGE
H3,Spain,Saudi Arabia,GROUP_STAGE
H4,Uruguay,Cape Verde Islands,GROUP_STAGE
H5,Cape Verde Islands,Saudi Arabia,GROUP_STAGE
H6,Uruguay,Spain,GROUP_STAGE
I1,France,Senegal,GROUP_STAGE
I2,Iraq,Norway,GROUP_STAGE
I3,France,Iraq,GROUP_STAGE
I4,Norway,Senegal,GROUP_STAGE
I5,Norway,France,GROUP_STAGE
I6,Senegal,Iraq,GROUP_STAGE
J1,Argentina,Algeria,GROUP_STAGE
J2,Austria,Jordan,GROUP_STAGE
J3,Argentina,Austria,GROUP_STAGE
J4,Jordan,Algeria,GROUP_STAGE
J5,Algeria,Austria,GROUP_STAGE
J6,Jordan,Argentina,GROUP_STAGE
K1,Portugal,Congo DR,GROUP_STAGE
K2,Uzbekistan,Colombia,GROUP_STAGE
K3,Portugal,Uzbekistan,GROUP_STAGE
K4,Colombia,Congo DR,GROUP_STAGE
K5,Colombia,Portugal,GROUP_STAGE
K6,Congo DR,Uzbekistan,GROUP_STAGE
L1,England,Croatia,GROUP_STAGE
L2,Ghana,Panama,GROUP_STAGE
L3,England,Ghana,GROUP_STAGE
L4,Panama,Croatia,GROUP_STAGE
L5,Croatia,Ghana,GROUP_STAGE
L6,Panama,England,GROUP_STAGE
DF1,South Africa,Canada,LAST_32
DF2,Brazil,Japan,LAST_32
DF3,Germany,Paraguay,LAST_32
DF4,Netherlands,Morocco,LAST_32
DF5,Ivory Coast,Norway,LAST_32
DF6,France,Sweden,LAST_32
DF7,Mexico,Ecuador,LAST_32
DF8,England,Congo DR,LAST_32
DF9,Belgium,Senegal,LAST_32
DF10,United States,Bosnia-Herzegovina,LAST_32
DF11,Spain,Austria,LAST_32
DF12,Portugal,Croatia,LAST_32
DF13,Switzerland,Algeria,LAST_32
DF14,Australia,Egypt,LAST_32
DF15,Argentina,Cape Verde Islands,LAST_32
DF16,Colombia,Ghana,LAST_32
OF1,-,-,LAST_16
OF2,-,-,LAST_16
OF3,-,-,LAST_16
OF4,-,-,LAST_16
OF5,-,-,LAST_16
OF6,-,-,LAST_16
OF7,-,-,LAST_16
OF8,-,-,LAST_16
QF1,-,-,QUARTER_FINALS
QF2,-,-,QUARTER_FINALS
QF3,-,-,QUARTER_FINALS
QF4,-,-,QUARTER_FINALS
SF1,-,-,SEMI_FINALS
SF2,-,-,SEMI_FINALS
TP,-,-,THIRD_PLACE
GF,-,-,FINAL